class_name,positive_count,negative_count,prevalence
Atelectasis,3279,22317,0.12810595405532113
Cardiomegaly,1069,24527,0.04176433817784029
Consolidation,1815,23781,0.07090951711204876
Edema,925,24671,0.03613845913423973
Effusion,4658,20938,0.18198155961869042
Emphysema,1093,24503,0.042701984685107046
Fibrosis,435,25161,0.016994842944210033
Hernia,86,25510,0.0033598999843725583
Infiltration,6112,19484,0.23878731051726831
Mass,1748,23848,0.06829192061259572
Nodule,1623,23973,0.06340834505391467
Pleural_Thickening,1143,24453,0.044655414908579466
Pneumonia,555,25041,0.021683075480543833
Pneumothorax,2665,22931,0.10411783091107986
