class_name,support,positive_count,negative_count,positive_prevalence,negative_prevalence,predicted_positive_count,prediction_prevalence,auroc,auroc_valid,average_precision,average_precision_valid,precision,recall_sensitivity,specificity,f1,accuracy,mcc,mcc_valid,balanced_accuracy,balanced_accuracy_valid,true_positive,true_negative,false_positive,false_negative
Atelectasis,3279,3279,22317,0.12810595405532113,0.8718940459446789,0,0.0,0.5343564477922521,True,0.14152350250574058,True,0.0,0.0,1.0,0.0,0.8718940459446789,0.0,True,0.5,True,0,22317,0,3279
Cardiomegaly,1069,1069,24527,0.04176433817784029,0.9582356618221597,18108,0.7074542897327707,0.4725423916667998,True,0.03863891752234788,True,0.040976364037994255,0.6941066417212348,0.29196395808700615,0.07738436668926318,0.3087591811220503,-0.006125271215640533,True,0.4930352999041205,True,742,7161,17366,327
Consolidation,1815,1815,23781,0.07090951711204876,0.9290904828879513,25596,1.0,0.5001063306899516,True,0.07115819016750614,True,0.07090951711204876,1.0,0.0,0.13242858706358762,0.07090951711204876,0.0,True,0.5,True,1815,0,23781,0
Edema,925,925,24671,0.03613845913423973,0.9638615408657603,25595,0.9999609313955306,0.4697003922977738,True,0.033926910106672516,True,0.03613987106856808,1.0,4.053341980462892e-05,0.06975867269984917,0.03617752773870917,0.0012103191999251407,True,0.5000202667099023,True,925,1,24670,0
Effusion,4658,4658,20938,0.18198155961869042,0.8180184403813096,1,3.906860446944835e-05,0.4820270346920908,True,0.17129618835264343,True,0.0,0.0,0.9999522399465087,0.0,0.8179793717768401,-0.00294818394912231,True,0.49997611997325436,True,0,20937,1,4658
Emphysema,1093,1093,24503,0.042701984685107046,0.957298015314893,0,0.0,0.5171969158583528,True,0.04616917455398871,True,0.0,0.0,1.0,0.0,0.957298015314893,0.0,True,0.5,True,0,24503,0,1093
Fibrosis,435,435,25161,0.016994842944210033,0.98300515705579,0,0.0,0.40762848177278554,True,0.013938774272612794,True,0.0,0.0,1.0,0.0,0.98300515705579,0.0,True,0.5,True,0,25161,0,435
Hernia,86,86,25510,0.0033598999843725583,0.9966401000156274,0,0.0,0.3725506641262432,True,0.002588546027797989,True,0.0,0.0,1.0,0.0,0.9966401000156274,0.0,True,0.5,True,0,25510,0,86
Infiltration,6112,6112,19484,0.23878731051726831,0.7612126894827317,25596,1.0,0.5025129190443279,True,0.23789483152996233,True,0.23878731051726831,1.0,0.0,0.38551785038476094,0.23878731051726831,0.0,True,0.5,True,6112,0,19484,0
Mass,1748,1748,23848,0.06829192061259572,0.9317080793874043,0,0.0,0.45849714812807585,True,0.06201716069826792,True,0.0,0.0,1.0,0.0,0.9317080793874043,0.0,True,0.5,True,0,23848,0,1748
Nodule,1623,1623,23973,0.06340834505391467,0.9365916549460853,0,0.0,0.42759428550999523,True,0.052313717911003726,True,0.0,0.0,1.0,0.0,0.9365916549460853,0.0,True,0.5,True,0,23973,0,1623
Pleural_Thickening,1143,1143,24453,0.044655414908579466,0.9553445850914205,0,0.0,0.4315242349501225,True,0.03720743337664888,True,0.0,0.0,1.0,0.0,0.9553445850914205,0.0,True,0.5,True,0,24453,0,1143
Pneumonia,555,555,25041,0.021683075480543833,0.9783169245194562,0,0.0,0.48142764784672054,True,0.02056283904671705,True,0.0,0.0,1.0,0.0,0.9783169245194562,0.0,True,0.5,True,0,25041,0,555
Pneumothorax,2665,2665,22931,0.10411783091107986,0.8958821690889202,0,0.0,0.4375580203372169,True,0.08979470490490757,True,0.0,0.0,1.0,0.0,0.8958821690889202,0.0,True,0.5,True,0,22931,0,2665
