class_name,ece,mce,brier_score
Atelectasis,0.12770091603116113,0.13477590680122375,0.12797879609675666
Cardiomegaly,0.6235429010796091,0.935488765626693,0.5370334490604984
Consolidation,0.9290693987950923,0.9290693987950923,0.92905304244185
Edema,0.9631707093792374,0.963743674717273,0.9626938199000087
Effusion,0.18091692444888394,0.6130049228668213,0.18167653404907097
Emphysema,0.041920919153029604,0.08495153486728668,0.042632074316148565
Fibrosis,0.016994842613398172,0.016994842613398172,0.016994842944053453
Hernia,0.0033598999842805477,0.0033598999842805477,0.0033598999843725583
Infiltration,0.7611899368556929,0.9118099808692932,0.7611783231298336
Mass,0.06670783315954953,0.06670961294146589,0.06812517778056064
Nodule,0.06340830263233208,0.06340830263233208,0.06340834254124562
Pleural_Thickening,0.04464810665708671,0.04464810665708671,0.044655040750544876
Pneumonia,0.021169658506483797,0.15086166560649872,0.021669361293955882
Pneumothorax,0.10408818517876345,0.10408818517876345,0.10411340557573108
