class_name,f1_optimal_threshold,f1_optimal_value,balanced_accuracy_optimal_threshold,balanced_accuracy_optimal_value,youden_j_optimal_threshold,youden_j_optimal_value
Atelectasis,6.325932986328553e-07,0.23147770804466544,7.706509677518625e-06,0.5248613906883847,7.706509677518625e-06,0.04972278137676933
Cardiomegaly,0.014227046631276608,0.08088659714472621,0.014227046631276608,0.5050354770251283,0.014227046631276608,0.010070954050256598
Consolidation,0.9983059167861938,0.13247988295537672,1.0,0.5033380353299617,1.0,0.006676070659923372
Edema,0.7518303990364075,0.06979025199939641,0.7518303990364075,0.50026346722873,0.7518303990364075,0.0005269344574601043
Effusion,2.956914010518452e-12,0.30834933456929087,8.105603654939841e-08,0.5027453110352464,8.105603654939841e-08,0.00549062207049289
Emphysema,0.0004060639475937933,0.08547192097068612,0.0004060639475937933,0.522454594969214,0.0004060639475937933,0.04490918993842796
Fibrosis,8.525514564980869e-36,0.033710477371357725,8.525514564980869e-36,0.504431461388657,8.525514564980869e-36,0.008862922777314042
Hernia,3.139132888409754e-17,0.008048289738430584,3.139132888409754e-17,0.5036114428450311,3.139132888409754e-17,0.007222885690062242
Infiltration,0.9965029954910278,0.3856394725219257,0.9999970197677612,0.5138324834392242,0.9999970197677612,0.027664966878448327
Mass,4.485758893224556e-07,0.12808568389392216,0.024940254166722298,0.5015485661669598,0.024940254166722298,0.0030971323339195056
Nodule,1.502111953922614e-22,0.11974579105808897,1.502111953922614e-22,0.5025601814980856,1.502111953922614e-22,0.005120362996171135
Pleural_Thickening,6.367942875480995e-15,0.08578846370922226,6.367942875480995e-15,0.5019387988720769,6.367942875480995e-15,0.00387759774415386
Pneumonia,1.920059570321639e-13,0.04246528176288305,0.003692853031679988,0.501924411532654,0.003692853031679988,0.0038488230653079825
Pneumothorax,3.2106581282498325e-10,0.18900661309820094,3.2106581282498325e-10,0.501477660815058,3.2106581282498325e-10,0.0029553216301159146
