class_name,pos_n,pos_mean,pos_std,pos_min,pos_max,pos_q5,pos_q25,pos_q50,pos_q75,pos_q95,neg_n,neg_mean,neg_std,neg_min,neg_max,neg_q5,neg_q25,neg_q50,neg_q75,neg_q95,mean_separation
Atelectasis,3279,0.0005187077600672312,0.0020885208081864895,2.5543836143504528e-11,0.050611432641744614,9.447255280292668e-08,2.561282371971174e-06,2.161314114346169e-05,0.0002002737601287663,0.002418323699384925,22317,0.00043210263098160097,0.002391139703598024,1.860985595226322e-13,0.13477590680122375,5.553621349463352e-08,1.5414084373333026e-06,1.508850164100295e-05,0.00014313739666249603,0.0019117692718282342,8.660512908563028e-05
Cardiomegaly,1069,0.6406862123279551,0.32579273344679854,0.0017752605490386486,0.9998162388801575,0.028586054965853702,0.39379289746284485,0.746508777141571,0.9307105541229248,0.9901169538497925,24527,0.6640700966722725,0.33045058717838116,6.709224544465542e-05,0.9999767541885376,0.02881619706749916,0.40892571210861206,0.8048664331436157,0.9457011222839355,0.9915215969085693,-0.023383884344317374
Consolidation,1815,0.9999674237464085,0.0006529967931498062,0.97334223985672,1.0,0.9999829530715942,0.9999998807907104,1.0,1.0,1.0,23781,0.9999797930053173,0.00028810001862051036,0.9690324664115906,1.0,0.9999874830245972,0.9999998807907104,1.0,1.0,1.0,-1.2369258908795366e-05
Edema,925,0.9988268009391991,0.012380658959470343,0.7518303990364075,1.0,0.9996415615081787,1.0,1.0,1.0,1.0,24671,0.9993272541203113,0.011302112137208331,0.1424703449010849,1.0,0.9999524354934692,1.0,1.0,1.0,1.0,-0.0005004531811122481
Effusion,4658,0.0011510624043845595,0.010094775929604638,1.860985595226322e-13,0.4102245569229126,4.089560934339432e-09,7.224441560538253e-07,1.217153203469934e-05,0.0001485489592596423,0.0036400705343112246,20938,0.0015180667584293972,0.010676711317227161,3.37488578190892e-16,0.6130049228668213,3.972977502542108e-09,7.888186388527174e-07,1.657145367062185e-05,0.00020662980386987329,0.00514261296484615,-0.0003670043540448377
Emphysema,1093,0.0009009310774946984,0.0023615633956461687,5.15223526065256e-08,0.02806073985993862,1.0129991096619051e-05,6.253713218029588e-05,0.0002251682453788817,0.0006337125087156892,0.0037507887464016676,24503,0.0007895866559532182,0.00253732214484946,2.322294712087114e-08,0.08586245775222778,8.332717698067427e-06,6.156764720799401e-05,0.00019411319226492196,0.0005636750720441341,0.0030043430160731077,0.0001113444215414802
Fibrosis,435,4.684051013677826e-12,7.617988467926379e-11,8.525514564980869e-36,1.5558403454463132e-09,3.7819760678313675e-31,5.0611844268502606e-26,5.7581832712309e-22,4.46583108111712e-18,5.441362590813833e-14,25161,3.3645017245945166e-10,5.171935348982051e-08,0.0,8.203532161132898e-06,1.4013943476265886e-29,4.828530826158239e-24,5.692798501022865e-20,1.130445142147465e-16,1.7757645939635303e-13,-3.3176612144577385e-10
Hernia,86,9.836086636917777e-19,6.1818886230467324e-18,0.0,4.86198400649071e-17,0.0,2.4247030096358754e-35,2.2471771955720094e-32,3.1605503445022115e-27,5.106195513838447e-21,25510,9.232088331198781e-14,1.4399587395296353e-11,0.0,2.2993831283457666e-09,0.0,2.086124477807374e-33,2.5628824030209753e-28,8.213607912247597e-24,7.858665081723956e-19,-9.231989970332413e-14
Infiltration,6112,0.9999773677204448,0.0001320013353839173,0.9965029954910278,1.0,0.9999245405197144,0.9999961853027344,0.9999997615814209,1.0,1.0,19484,0.9999772096207635,0.0006540377626916506,0.9118099808692932,1.0,0.9999402761459351,0.9999951124191284,0.9999997615814209,1.0,1.0,1.580996812355906e-07
Mass,1748,0.0014066104612776536,0.005322685646437249,1.1701805391339803e-07,0.09417666494846344,3.281141448496783e-06,3.591300992411561e-05,0.00014482549886452034,0.0006986756343394518,0.0056333035929128404,23848,0.0015970960819295791,0.004739746888730192,1.6822646609071512e-09,0.0948452427983284,4.2228334677929524e-06,4.6474400733131915e-05,0.00021485926117748022,0.0010362669127061963,0.007374365348368883,-0.00019048562065192547
