key,stage,purpose,kind,required,relative_path,absolute_path,exists,file_size_bytes,created_at_utc
environment_summary,stage01_environment,"Environment, device, reproducibility, dataset discovery record",json,True,stage01_environment/environment_summary.json,/kaggle/working/sprint04_evaluation/stage01_environment/environment_summary.json,True,1879,2026-07-05T05:30:04.041327+00:00
artifact_validation,stage02_artifact_loader,"Artifact resolution, checkpoint compatibility, class-count consistency",json,True,stage02_artifact_loader/artifact_validation.json,/kaggle/working/sprint04_evaluation/stage02_artifact_loader/artifact_validation.json,True,4353,2026-07-05T05:30:05.325444+00:00
dataset_summary,stage03_dataset_builder,Dataset/class/transform/dataloader configuration record,json,True,stage03_dataset_builder/dataset_summary.json,/kaggle/working/sprint04_evaluation/stage03_dataset_builder/dataset_summary.json,True,2748,2026-07-05T05:34:40.371747+00:00
dataset_validation,stage03_dataset_builder,Duplicate/image/tensor-shape/dataloader smoke-test validation,json,True,stage03_dataset_builder/dataset_validation.json,/kaggle/working/sprint04_evaluation/stage03_dataset_builder/dataset_validation.json,True,1357,2026-07-05T05:34:40.119724+00:00
class_distribution_csv,stage03_dataset_builder,Per-class positive count / prevalence in the test split,csv,False,stage03_dataset_builder/class_distribution.csv,/kaggle/working/sprint04_evaluation/stage03_dataset_builder/class_distribution.csv,True,634,2026-07-05T05:34:40.124724+00:00
inference_summary,stage04_inference_engine,"Inference runtime, throughput, validation checks",json,True,stage04_inference_engine/inference_summary.json,/kaggle/working/sprint04_evaluation/stage04_inference_engine/inference_summary.json,True,139270,2026-07-05T05:39:43.365621+00:00
predictions_parquet,stage04_inference_engine,Per-sample ground truth / logits / probabilities / predictions,binary,True,stage04_inference_engine/predictions.parquet,/kaggle/working/sprint04_evaluation/stage04_inference_engine/predictions.parquet,True,2014642,2026-07-05T05:39:42.065502+00:00
raw_logits_pt,stage04_inference_engine,Raw pre-sigmoid logits tensor,binary,True,stage04_inference_engine/raw_logits.pt,/kaggle/working/sprint04_evaluation/stage04_inference_engine/raw_logits.pt,True,1511806,2026-07-05T05:39:43.334619+00:00
prediction_metadata,stage04_inference_engine,Schema/column documentation for predictions.parquet,json,True,stage04_inference_engine/prediction_metadata.json,/kaggle/working/sprint04_evaluation/stage04_inference_engine/prediction_metadata.json,True,2265,2026-07-05T05:39:43.356621+00:00
evaluation_summary,stage05_metrics_engine,Executive metrics summary + provenance,json,True,stage05_metrics_engine/evaluation_summary.json,/kaggle/working/sprint04_evaluation/stage05_metrics_engine/evaluation_summary.json,True,3035,2026-07-05T05:39:47.487000+00:00
evaluation_metrics,stage05_metrics_engine,Comprehensive per-class + aggregate metrics,json,True,stage05_metrics_engine/evaluation_metrics.json,/kaggle/working/sprint04_evaluation/stage05_metrics_engine/evaluation_metrics.json,True,10310,2026-07-05T05:39:47.487000+00:00
macro_metrics,stage05_metrics_engine,Macro-averaged headline metrics,json,True,stage05_metrics_engine/macro_metrics.json,/kaggle/working/sprint04_evaluation/stage05_metrics_engine/macro_metrics.json,True,588,2026-07-05T05:39:47.481999+00:00
micro_metrics,stage05_metrics_engine,Micro-averaged headline metrics,json,True,stage05_metrics_engine/micro_metrics.json,/kaggle/working/sprint04_evaluation/stage05_metrics_engine/micro_metrics.json,True,717,2026-07-05T05:39:47.481999+00:00
weighted_metrics,stage05_metrics_engine,Support-weighted headline metrics,json,True,stage05_metrics_engine/weighted_metrics.json,/kaggle/working/sprint04_evaluation/stage05_metrics_engine/weighted_metrics.json,True,502,2026-07-05T05:39:47.481999+00:00
per_class_metrics_csv,stage05_metrics_engine,"One row per class: support, AUROC, precision/recall/F1, MCC, balanced accuracy",csv,True,stage05_metrics_engine/per_class_metrics.csv,/kaggle/working/sprint04_evaluation/stage05_metrics_engine/per_class_metrics.csv,True,3358,2026-07-05T05:39:47.480999+00:00
stage5_engineering_validation,stage05_metrics_engine,Stage 5 PASS/FAIL engineering checks,json,True,stage05_metrics_engine/engineering_validation.json,/kaggle/working/sprint04_evaluation/stage05_metrics_engine/engineering_validation.json,True,5242,2026-07-05T05:39:47.497001+00:00
stage06_summary,stage06_threshold_calibration_engine,Calibration + deployment-recommendation executive summary,json,True,stage06_threshold_calibration_engine/stage06_summary.json,/kaggle/working/sprint04_evaluation/stage06_threshold_calibration_engine/stage06_summary.json,True,1809,2026-07-05T05:39:48.364080+00:00
optimal_thresholds_csv,stage06_threshold_calibration_engine,Per-class optimal operating thresholds,csv,True,stage06_threshold_calibration_engine/optimal_thresholds.csv,/kaggle/working/sprint04_evaluation/stage06_threshold_calibration_engine/optimal_thresholds.csv,True,2012,2026-07-05T05:39:47.836032+00:00
