class_name,verdict,reasons,recommended_operating_threshold,current_fixed_threshold
Atelectasis,DO_NOT_DEPLOY,always_negative_at_threshold;auroc_below_minimum(0.534<0.65),8e-06,0.5
Cardiomegaly,DO_NOT_DEPLOY,auroc_below_chance;auroc_below_minimum(0.473<0.65),0.014227,0.5
Consolidation,DO_NOT_DEPLOY,always_positive_at_threshold;auroc_below_minimum(0.500<0.65),1.0,0.5
Edema,DO_NOT_DEPLOY,auroc_below_chance;auroc_below_minimum(0.470<0.65),0.75183,0.5
Effusion,DO_NOT_DEPLOY,auroc_below_chance;auroc_below_minimum(0.482<0.65),0.0,0.5
Emphysema,DO_NOT_DEPLOY,always_negative_at_threshold;auroc_below_minimum(0.517<0.65),0.000406,0.5
Fibrosis,DO_NOT_DEPLOY,always_negative_at_threshold;collapsed_probability_distribution;auroc_below_chance;auroc_below_minimum(0.408<0.65),0.0,0.5
Hernia,DO_NOT_DEPLOY,always_negative_at_threshold;collapsed_probability_distribution;auroc_below_chance;auroc_below_minimum(0.373<0.65),0.0,0.5
Infiltration,DO_NOT_DEPLOY,always_positive_at_threshold;auroc_below_minimum(0.503<0.65),0.999997,0.5
Mass,DO_NOT_DEPLOY,always_negative_at_threshold;auroc_below_chance;auroc_below_minimum(0.458<0.65),0.02494,0.5
Nodule,DO_NOT_DEPLOY,always_negative_at_threshold;collapsed_probability_distribution;auroc_below_chance;auroc_below_minimum(0.428<0.65),0.0,0.5
Pleural_Thickening,DO_NOT_DEPLOY,always_negative_at_threshold;collapsed_probability_distribution;auroc_below_chance;auroc_below_minimum(0.432<0.65),0.0,0.5
Pneumonia,DO_NOT_DEPLOY,always_negative_at_threshold;auroc_below_chance;auroc_below_minimum(0.481<0.65),0.003693,0.5
Pneumothorax,DO_NOT_DEPLOY,always_negative_at_threshold;auroc_below_chance;auroc_below_minimum(0.438<0.65),0.0,0.5
