stage,check,status,detail
stage01_environment,hard_requirements_satisfied,PASS,hard_missing=[]
stage01_environment,all_dataset_roles_discovered,PASS,"roles_found=['registry_manifests', 'artifacts', 'images']"
stage01_environment,device_resolved,PASS,device=cuda
stage01_environment,cudnn_determinism_enabled,PASS,"{'random_seed': 42, 'cuda_seeded': True, 'cudnn_deterministic': True, 'cudnn_benchmark': False}"
stage02_artifact_loader,no_missing_required_artifacts,PASS,missing_required=[]
stage02_artifact_loader,no_corrupted_artifacts,PASS,corrupted=[]
stage02_artifact_loader,class_count_consistent,PASS,"{'disease_registry': 14, 'training_summary_model': 14, 'consistent': True}"
stage02_artifact_loader,checkpoint_param_counts_match,FAIL,"{'checkpoint_path': '/kaggle/input/datasets/anupsharma1730/visionserveai-sprint04-artifacts/visionserveai/sprint04/checkpoints/best_model.pt', 'architecture': 'densenet121 + Linear(14)', 'expected_param_count': 6968206, 'load_transform_used': 'as-is', 'attempts': [{'transform': 'as-is', 'result': 'success'}], 'missing_keys': [], 'unexpected_keys': [], 'checkpoint_top_level_keys': ['model_state_dict', 'optimizer_state_dict', 'scheduler_state_dict', 'scaler_state_dict', 'epoch', 'best_metric', 'config'], 'param_count_loaded': 7051975, 'param_counts_match': False}"
stage02_artifact_loader,metadata_cross_check_epoch,PASS,"{'best_model_metadata': 10, 'training_summary': 10, 'match': True}"
stage02_artifact_loader,metadata_cross_check_val_macro_auroc,PASS,"{'best_model_metadata': 0.6291324087507639, 'training_summary': 0.6291324087507639, 'match': True}"
stage02_artifact_loader,metadata_cross_check_val_loss,PASS,"{'best_model_metadata': 1.2928808805067944, 'training_summary': 1.2928808805067944, 'match': True}"
stage02_artifact_loader,stage2_runtime_warning_1,WARNING,"training_summary.json self-reports artifact_validation_passed=False. Proceeding with Stage 2's OWN independent validation below — this is informational, not a pass-through of the training pipeline's verdict."
stage02_artifact_loader,stage2_runtime_warning_2,WARNING,"Loaded param count 7051975 != model param count 6968206 (dropout layers have 0 params so this is usually fine, but flagging for audit)."
stage03_dataset_builder,no_duplicate_samples,PASS,"{'duplicate_image_index_count': 0, 'duplicate_full_row_count': 0}"
stage03_dataset_builder,no_missing_or_corrupted_images,PASS,"{'missing_files': [], 'missing_count': 0, 'header_check_failures': [], 'header_check_failure_count': 0, 'full_decode_sample_size': 1500, 'full_decode_failures': [], 'full_decode_failure_count': 0, 'distinct_decoded_pixel_sizes_sampled': 1, 'corruption_ratio': 0.0}"
stage03_dataset_builder,tensor_shapes_consistent,PASS,"{'sampled': 200, 'expected_shape': [3, 288, 288], 'consistent': True}"
stage03_dataset_builder,dataloader_smoke_test_ran,PASS,"[32, 3, 288, 288]"
stage03_dataset_builder,stage3_runtime_warning_1,WARNING,"No artifact (dataloader_summary/training_summary/checkpoint_summary/best_model_metadata) contains an explicit image_size+normalization block. Falling back to backbone 'densenet121''s own timm pretrained_cfg for the eval transform. This is the architecturally correct recipe for that backbone, but was not explicitly recorded by the training pipeline — flagging for audit."
stage04_inference_engine,class_names_count_matches_training_summary,PASS,class_names=14 training_summary=14
stage04_inference_engine,dataset_non_empty,PASS,n_samples=25596
stage04_inference_engine,architecture_backbone_registered,PASS,backbone=densenet121
stage04_inference_engine,architecture_num_classes_positive,PASS,num_classes=14
stage04_inference_engine,architecture_dropout_valid,PASS,dropout=0.3
stage04_inference_engine,model_loaded,PASS,backbone=densenet121 num_classes=14
stage04_inference_engine,checkpoint_transform_resolved,PASS,"attempts=[{'transform': 'as-is', 'missing': 0, 'unexpected': 0, 'shape_mismatches': 0}]"
stage04_inference_engine,checkpoint_no_missing_tensors,PASS,[]
stage04_inference_engine,checkpoint_no_unexpected_tensors,PASS,[]
stage04_inference_engine,checkpoint_no_shape_mismatches,PASS,[]
stage04_inference_engine,checkpoint_param_count_matches,PASS,loaded=7051975 model=7051975
stage04_inference_engine,checkpoint_restored,PASS,as-is
stage04_inference_engine,model_in_eval_mode,PASS,model.training==False
stage04_inference_engine,gradients_disabled,PASS,all parameters requires_grad=False
stage04_inference_engine,inference_reproducible,PASS,two forward passes on sample[0] identical
stage04_inference_engine,deterministic_execution,PASS,"{'seed': 42, 'cudnn_deterministic': True, 'cudnn_benchmark': False}"
stage04_inference_engine,prediction_count_equals_dataset_size,PASS,predictions=25596 dataset=25596
stage04_inference_engine,logits_shape_correct,PASS,"shape=(25596, 14) expected=(25596, 14)"
